lng,lat,OBJEKT_NR,OBJEKTBEZ,BAUMNUMMER,BAUMART,BOTANISCHER_NAME,PFLANZJAHR
6.57136369678242,51.3188014409337,0570871,THYWISSENSTRAßE,3,Sorte des Feld-Ahorn,Acer campestre Lienco,2016
6.58844142726175,51.3362015784038,0770872,TIERGARTENSTRAßE,6,Papier-Birke,Betula papyrifera,2016
6.58929613602773,51.3363931477513,0770872,TIERGARTENSTRAßE,13,Papier-Birke,Betula papyrifera,2016
6.57246082236021,51.3190208616112,0570871,THYWISSENSTRAßE,11,Sorte des Feld-Ahorn,Acer campestre Lienco,2016
6.61130773041276,51.3452892393917,0870843,STIPPERGATH,31,Stiel-Eiche,Quercus robur,2016
6.59674325090141,51.3379518630257,0770872,TIERGARTENSTRAßE,169,Papier-Birke,Betula papyrifera,2016
6.59678435034707,51.3381367421023,0770872,TIERGARTENSTRAßE,121,Papier-Birke,Betula papyrifera,2016
6.58748861895996,51.3478873104124,3878590,"Kaiserstraße, Kaiserpark",386,Libanon-Zeder,Cedrus libani,2016
6.57966274251845,51.3402360184669,0470762,ROONSTRAßE,46,Ungarische Eiche,Quercus frainetto,2016
6.51173593171976,51.3724874281751,0371417,AUF DEM GRABEN,17,Baum-Magnolie,Magnolia kobus,2016
6.60185678551441,51.3622040943198,0870978,ZWINGENBERGSTRAßE,160,Sorte der Vogel-Kirsche,Prunus avium Landscape Bloom,2016
6.5920017468362,51.3093285525765,0670958,WILHELMSTRAßE,30,Spitz-Ahorn,Acer platanoides,2016
6.60185206931061,51.3621137589261,0870978,ZWINGENBERGSTRAßE,209,Sorte der Vogel-Kirsche,Prunus avium Landscape Bloom,2016
6.60170927989311,51.3621774345549,0870978,ZWINGENBERGSTRAßE,207,Sorte der Vogel-Kirsche,Prunus avium Landscape Bloom,2016
6.57474599097853,51.3456740553049,0470956,WILHELMSHOFALLEE,46,Papier-Birke,Betula papyrifera,2016
6.58869312230346,51.3104336433704,0670958,WILHELMSTRAßE,56,Spitz-Ahorn,Acer platanoides,2016
6.60205477677545,51.3620183053486,0870978,ZWINGENBERGSTRAßE,212,Sorte der Vogel-Kirsche,Prunus avium Landscape Bloom,2016
6.60149765860808,51.3623610448018,0870978,ZWINGENBERGSTRAßE,165,Sorte der Vogel-Kirsche,Prunus avium Landscape Bloom,2016
6.60135622723861,51.3624166197019,0870978,ZWINGENBERGSTRAßE,167,Sorte der Vogel-Kirsche,Prunus avium Landscape Bloom,2016
6.55941478865507,51.3313631586672,0470947,WESTWALL,29,Kaiserlinde,Tilia vulgaris Pallida,2016
6.51164132074005,51.3782400673196,0371527,KRETENBÄSKESWEG,2,Wald-Tupelobaum,Nyssa sylvatica,2016
6.51954116839295,51.3936474301285,0371538,ROHRAMMERDYK,184,Stiel-Eiche,Quercus robur,2016
6.511362187911,51.370991471624,0371525,KREFELDER STRAßE,24,Säulen-Spitz-Ahorn,Acer platanoides Columnare 2,2016
6.59193638889172,51.3613020182043,0871233/1,"EUROPARING, Mittelstreifen; Einzelbäume",218,Sorte der Rotesche,Fraxinus pennsylvanica Patmore,2016
6.50931689847424,51.3678719894562,0371503,JOEPPENSTRAßE,17,Japanische Zierkirsche,Prunus serrulata Kanzan,2016
6.51502132905282,51.3772940448159,0371425,AM KÖNIGSPARK,18,Himalaja-Birke,Betula utilis,2016
6.59538381445771,51.3621960620351,0871233/1,"EUROPARING, Mittelstreifen; Einzelbäume",181,Sorte der Rotesche,Fraxinus pennsylvanica Patmore,2016
6.50909116673395,51.367974535709,0371503,JOEPPENSTRAßE,18,Japanische Zierkirsche,Prunus serrulata Kanzan,2016
