lng,lat,OBJEKT_NR,OBJEKTBEZ,BAUMNUMMER,BAUMART,BOTANISCHER_NAME,PFLANZJAHR,icon,color
6.49632226300993,51.3951919685851,0371557,KLEVER STRAßE,303,Sorte der Rotesche,Fraxinus pennsylvanica Patmore,2017,fa-leaf,green
6.51475727360291,51.387356775462,0371547,LOOKDYK,129,Eßkastanie,Castanea sativa,2017,fa-leaf,green
6.51472295608537,51.3873972722843,0371547,LOOKDYK,128,Eßkastanie,Castanea sativa,2017,fa-leaf,green
6.51412238905851,51.3881078935632,0371547,LOOKDYK,122,Eßkastanie,Castanea sativa,2017,fa-leaf,green
6.51478618059261,51.387320705093,0371547,LOOKDYK,130,Eßkastanie,Castanea sativa,2017,fa-leaf,green
6.52658109863347,51.3278603237284,0171223,AM SCHIRKESHOF,4,Säulenhainbuche,Carpinus betulus Fastigiata,2017,fa-leaf,green
6.50531725829824,51.3754092793674,0371216,BEGINENWEG,8,Geweihbaum,Gymnocladus dioicus,2017,fa-leaf,green
6.52854770988241,51.3851165179021,0371421,BOOMDYK,85,Winter-Linde,Tilia cordata,2017,fa-leaf,green
6.50727364101459,51.3791599997744,0371557,KLEVER STRAßE,154,Gemeine Hainbuche,Carpinus betulus,2017,fa-leaf,green
6.6239170653379,51.323911537112,0771109,HEINRICH-KLAUSMANN-STRAßE,44,Schmalkronige Gleditschie,Gleditsia triacanthos Skyline,2017,fa-leaf,green
6.63561612319285,51.361992822254,4978520,"Parkstraße, Stadtpark",2019,Dachförmige Platane,Platanus x acerifolia,2017,fa-leaf,green
6.61852144072813,51.3257492400656,2775236,"FDF Oppum, Heckschenstraße",150,Winter-Linde,Tilia cordata,2017,fa-leaf,green
6.61862251612689,51.3257755424848,2775236,"FDF Oppum, Heckschenstraße",148,Winter-Linde,Tilia cordata,2017,fa-leaf,green
6.61841302655389,51.3257327720315,2775236,"FDF Oppum, Heckschenstraße",152,Amberbaum,Liquidambar styraciflua,2017,fa-leaf,green
6.58164525012623,51.3465394410204,3878302,"Wilhelmshofallee 97, Museum Haus Lange",107,Blutbuche,Fagus sylvatica Purpurea,2017,fa-leaf,green
6.55701004313893,51.3270986044375,1178204,"An der Josefkirche, Grundschule",3,Spitz-Ahorn,Acer platanoides,2017,fa-leaf,green
6.59620101470708,51.293093908955,0670543,KÜTTERWEG,2,Gelbblättrige Robinie,Robinia pseudoacacia Frisia,2017,fa-leaf,green
6.62972646378877,51.3216238442471,2778432,"Am Holderspfad, Skateranlage",33,Schwarz-Erle,Alnus glutinosa,2017,fa-leaf,green
6.53900193550175,51.3534556524842,1278511,"Am Schleitershof, Grünanlage Hummelwiese",130,Rotbuche,Fagus sylvatica,2017,fa-leaf,green
6.57402179184659,51.3476854168235,1278515,"Moerser Straße / Dahlerdyk, Grünzug nördl Immenhof",11,Sorte der Tulpenmagnolie,Magnolia Hybride Galaxy,2017,fa-leaf,green
6.56064645659649,51.3364291632486,1478514,Friedrichsplatz,3,Blutbuche,Fagus sylvatica Purpurea,2017,fa-leaf,green
6.55795904750907,51.3061430650425,2678515,"Vulkanstraße, Stadtpark Fischeln II",567,Gewöhnlicher Trompetenbaum,Catalpa bignonioides,2017,fa-leaf,green
6.57674252939353,51.3104356341853,2678520,Camesstraße - Kölner Straße / Vulkanstraße,51,Sorte vom Japanischen Apfel,Malus floribunda Red Sentinel,2017,fa-leaf,green
6.60922226530391,51.3193269663272,2778528,Fungendonk,9,Sand-Birke,Betula pendula,2017,fa-leaf,green
6.635587456665,51.3619869748923,4978520,"Parkstraße, Stadtpark",283,Dachförmige Platane,Platanus x acerifolia,2017,fa-leaf,green
6.58228626773934,51.3014460249197,0670073,AN DE WELT,10,Stiel-Eiche,Quercus robur,2017,fa-leaf,green
6.5653951969107,51.3172433793733,2578520,"Vom-Bruck-Straße, Grünverbindung Reinersweg",6,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.55875796730749,51.3073072615226,2678515,"Vulkanstraße, Stadtpark Fischeln II",27,Ginkgobaum,Ginkgo biloba,2017,fa-leaf,green
6.56608013123054,51.3173591764645,2578520,"Vom-Bruck-Straße, Grünverbindung Reinersweg",1,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.56597702030967,51.3173425829613,2578520,"Vom-Bruck-Straße, Grünverbindung Reinersweg",2,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.62077684792488,51.3517669577767,0870124,BETHELSTRAßE,48,Himalaja-Birke,Betula jacquemontii,2017,fa-leaf,green
6.5991347783819,51.3178319784018,2678522,"Hafelsstraße, Bunker Ecke Langendonk",44,Sand-Birke,Betula pendula,2017,fa-leaf,green
6.60620881260063,51.3169430466903,2678539,"Langen Donk, Grünverbindung",14,Säulen-Feldahorn,Acer campestre Green Column,2017,fa-leaf,green
6.5515883852528,51.3347796702891,0178684,"NORDWALL, Parkplatz am Gericht",5,Winter-Linde,Tilia cordata,2017,fa-leaf,green
6.55201846854079,51.3348629626205,0178684,"NORDWALL, Parkplatz am Gericht",2,Winter-Linde,Tilia cordata,2017,fa-leaf,green
6.57321391868215,51.3113677724423,2678552,"Vulkanstraße, Grünanlage Heideck",12,Taschentuchbaum,Davidia involukrata,2017,fa-leaf,green
6.59275148694187,51.3105354798511,2678546,"Hafelsstraße,von Hafels bis Wilh.Stefen,Fischelner Wiese",100,Eiche,Quercus  species,2017,fa-leaf,green
6.59329944030116,51.3096587765275,2678546,"Hafelsstraße,von Hafels bis Wilh.Stefen,Fischelner Wiese",88,Ginkgobaum,Ginkgo biloba,2017,fa-leaf,green
6.56108781744486,51.3449629336259,0270655,NASSAUERRING,646,Gemeine Kiefer,Pinus sylvestris,2017,fa-leaf,green
6.56439399373775,51.317071922219,2578520,"Vom-Bruck-Straße, Grünverbindung Reinersweg",11,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.57427478548147,51.3285118302047,0470722,PHILADELPHIASTRAßE,1020,Sorte des Riesen-Lebensbaum,Thuja plicata Excelsa,2017,fa-leaf,green
6.56554185346469,51.3172687877612,2578520,"Vom-Bruck-Straße, Grünverbindung Reinersweg",5,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.57426825803598,51.3282698236503,0470722,PHILADELPHIASTRAßE,1019,Sorte des Riesen-Lebensbaum,Thuja plicata Excelsa,2017,fa-leaf,green
6.64831186418315,51.3652735109053,0970240,DUISBURGER STRAßE,22,Baum-Magnolie,Magnolia loebneriMerrill,2017,fa-leaf,green
6.57427207141577,51.3281657928439,0470722,PHILADELPHIASTRAßE,1016,Sorte des Riesen-Lebensbaum,Thuja plicata Excelsa,2017,fa-leaf,green
6.61206830168626,51.34417554871,0870885,UERDINGER STRAßE,318,Kegel- Linde Glenleven,Tilia cordata Glenleven,2017,fa-leaf,green
6.61586529401948,51.3450750385631,0870885,UERDINGER STRAßE,325,Säulen-Feldahorn,Acer campestre Green Column,2017,fa-leaf,green
6.57999549812994,51.3448382909528,0470469,JENTGESALLEE,85,Spitz-Ahorn,Acer platanoides,2017,fa-leaf,green
6.60921729780682,51.3360366891756,0770475,JOHANSENAUE,23,Papier-Birke,Betula papyrifera,2017,fa-leaf,green
6.65170152722155,51.334877427332,27ND_35,Greiffenhorstpark 4488,11,Holländische Linde,Tilia x intermedia,2017,fa-leaf,green
6.58021483423094,51.315224894751,0670513,KNEINSTRAßE,14,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.61103606304124,51.3391223866762,0770123,BERLINER STRAßE,73,Purpur-Erle,Alnus x spaethii,2017,fa-leaf,green
6.56428616948702,51.3206379263787,0570601,LUTHERPLATZ,60,Yoshino-Kirsche,Prunus x yedoensis,2017,fa-leaf,green
