id;address;schooltype;title;content;type;2017;2018;2019;2020;2021;2022;finance;costs;comments;lat;lng;icon;color
111;Fungendonk 31;Grundschule ;Geschwister-Scholl;Erweiterung (Planung);Neubau/SEP;x;;;; ; ;KInvFöG-Mittel;5390000;;51.319835;6.611307;fa-graduation-cap;blue
112;Fungendonk 31;Grundschule ;Geschwister-Scholl;Turnhalle: Sanierung Sanitäranlagen;Sanierung;; ;x; ; ; ;Gute Schule 2020-Mittel;5390000;;51.319835;6.611307;fa-graduation-cap;blue
113;Fungendonk 31;Grundschule ;Geschwister-Scholl;Turnhalle, fehlende Deckenkonstruktion (Hallendecke und Beleuchtung);Verkehrssicherheit;;;x; ; ; ;Gute Schule 2020-Mittel;5390000;;51.319835;6.611307;fa-graduation-cap;blue
114;Fungendonk 31;Grundschule;Geschwister-Scholl;Bauunterhalt < 10.000 Euro;Sanierung;;x;x;x;x;x;;5390000;;51.319835;6.611307;fa-graduation-cap;blue
116;Eichendorffstr. 21;Grundschule ;Grotenburgschule;Mängelbeseitigung HAZ, Rauchmeldertausch;Brandschutz;;x; ; ; ; ;;1680000;;51.339411;6.599194;fa-graduation-cap;blue
117;Eichendorffstr. 21;Grundschule ;Grotenburgschule;Digitalisierung;Digitalisierung;; ;x; ; ; ;Gute Schule 2020-Mittel;1680000;;51.339411;6.599194;fa-graduation-cap;blue
118;Eichendorffstr. 21;Grundschule ;Grotenburgschule;Sanierung Fenster Hauptgebäude und Verwaltung;Gebäudehülle;;x; ; ; ; ;Gute Schule 2020-Mittel;1680000;;51.339411;6.599194;fa-graduation-cap;blue
119;Eichendorffstr. 21;Grundschule ;Grotenburgschule;Flure und Treppenräume streichen;Sanierung;;x; ; ; ; ;Gute Schule 2020-Mittel;1680000;;51.339411;6.599194;fa-graduation-cap;blue
120;Eichendorffstr. 21;Grundschule ;Grotenburgschule;Sanierung Klassenräume;Sanierung;;x; ; ; ; ;Gute Schule 2020-Mittel;1680000;;51.339411;6.599194;fa-graduation-cap;blue
121;Eichendorffstr. 21;Grundschule ;Grotenburgschule;Hauptgebäude, Dachsanierung;Gebäudehülle;;x; ; ; ; ;Gute Schule 2020-Mittel;1680000;;51.339411;6.599194;fa-graduation-cap;blue
122;Eichendorffstr. 21;Grundschule ;Grotenburgschule;Sanierung Sanitäranlagen;Sanierung;; ; ; ; ;x;;1680000;;51.339411;6.599194;fa-graduation-cap;blue
123;Eichendorffstr. 21;Grundschule ;Grotenburgschule;Hochbau / MRP;Neubau/SEP;; ; ;x;x; ;;1680000;;51.339411;6.599194;fa-graduation-cap;blue
124;Eichendorffstr. 21;Grundschule ;Grotenburgschule;Tiefbau / MRP;Neubau/SEP;; ; ; ;x; ;;1680000;;51.339411;6.599194;fa-graduation-cap;blue
125;Eichendorffstr. 21;Grundschule ;Grotenburgschule;Einrichtung / MRP;Neubau/SEP;; ; ; ;x; ;;1680000;;51.339411;6.599194;fa-graduation-cap;blue
126;Eichendorffstr. 21;Grundschule ;Grotenburgschule;Ersatz/Austausch Pavillon / MRP;Sanierung/SEP;; ; ; ;x; ;;1680000;;51.339411;6.599194;fa-graduation-cap;blue
127;Eichendorffstr. 21;Grundschule ;Grotenburgschule;Turnhalle: Sanierung Sanitäranlagen;Sanierung;; ; ; ; ;x;;1680000;;51.339411;6.599194;fa-graduation-cap;blue
128;Eichendorffstr. 21;Grundschule ;Grotenburgschule;Bauunterhalt < 10.000 Euro;Sanierung;;x;x;x;x;x;;1680000;;51.339411;6.599194;fa-graduation-cap;blue
129;Eichendorffstr. 21;Grundschule;Grotenburgschule;Versammlungsstätte  Überprüfung/Ertüchtigung;Verkehrssicherheit;;;;;;;;1680000;;51.339411;6.599194;fa-graduation-cap;blue
131;Körnerstr. 17;Grundschule;Heinrichsschule;Abdichtung Flurwände und Anstriche;Sanierung;;;x;;;;Gute Schule 2020-Mittel;625000;;51.363608;6.646081;fa-graduation-cap;blue
132;Körnerstr. 17;Grundschule;Heinrichsschule;Sanierung Klassenräume;Sanierung;;;x;;;;Gute Schule 2020-Mittel;625000;;51.363608;6.646081;fa-graduation-cap;blue
133;Körnerstr. 17;Grundschule;Heinrichsschule;Sanierung Schulhofkanäle/Grundleitungen;Sanierung;;x; ;;; ;;625000;;51.363608;6.646081;fa-graduation-cap;blue
134;Körnerstr. 17;Grundschule;Heinrichsschule;Digitalisierung;Digitalisierung;; ; ;;x; ;Gute Schule 2020-Mittel;625000;;51.363608;6.646081;fa-graduation-cap;blue
135;Körnerstr. 17;Grundschule;Heinrichsschule;Sanierung Sanitäranlagen;Sanierung;; ;x;;; ;Gute Schule 2020-Mittel;625000;;51.363608;6.646081;fa-graduation-cap;blue
136;Körnerstr. 17;Grundschule;Heinrichsschule;Sanierung Klinkerfassade u. Hydrophobierung;Gebäudehülle;; ; ;;;x;;625000;;51.363608;6.646081;fa-graduation-cap;blue
137;Körnerstr. 17;Grundschule;Heinrichsschule;Erneuerung Fenster;Gebäudehülle;; ; ;;;x;;625000;;51.363608;6.646081;fa-graduation-cap;blue
138;Körnerstr. 17;Grundschule;Heinrichsschule;Einbau BS-Türen im UG/EG;Brandschutz;; ; ;;;x;;625000;;51.363608;6.646081;fa-graduation-cap;blue
139;Körnerstr. 17;Grundschule;Heinrichsschule;Klassen OG über Verwaltung, 2. Rettungsweg;Brandschutz;; ; ;;;x;;625000;;51.363608;6.646081;fa-graduation-cap;blue
140;Körnerstr. 17;Grundschule;Heinrichsschule;Bauunterhalt < 10.000 Euro;Sanierung;;x;x;x;x;x;;625000;;51.363608;6.646081;fa-graduation-cap;blue
142;Horkesgath 50;Grundschule;GGS Horkesgath;Verschattung Mensa;Gebäudehülle;;;x; ; ; ;;1095000;;51.337299;06.52905;fa-graduation-cap;blue
143;Horkesgath 50;Grundschule;GGS Horkesgath;Durchbruch HM-Wohnung f. schulische Nutzung;Nutzung;;x; ; ; ; ;;1095000;;51.337299;06.52905;fa-graduation-cap;blue
144;Horkesgath 50;Grundschule;GGS Horkesgath;Digitalisierung;Digitalisierung;;;;x; ; ;Gute Schule 2020-Mittel;1095000;;51.337299;06.52905;fa-graduation-cap;blue
145;Horkesgath 50;Grundschule;GGS Horkesgath;Sanierung Klassenräume, Mensa;Sanierung;;x; ; ; ;;Gute Schule 2020-Mittel;1095000;;51.337299;06.52905;fa-graduation-cap;blue
146;Horkesgath 50;Grundschule;GGS Horkesgath;Sanierung Flure;Sanierung;;x; ; ; ;;Gute Schule 2020-Mittel;1095000;;51.337299;06.52905;fa-graduation-cap;blue
147;Horkesgath 50;Grundschule;GGS Horkesgath;Sanierung Sanitäranlagen;Sanierung;; ; ; ;x;;;1095000;;51.337299;06.52905;fa-graduation-cap;blue
148;Kempener Allee 142/NG;Grundschule;GGS Horkesgath;Sanierung Grundleitungen Abwasser-/Regenwasser;Sanierung;;x; ; ; ; ;;1095000;;51.341356;6.530377;fa-graduation-cap;blue
149;Kempener Allee 142/NG;Grundschule;GGS Horkesgath;Sanierung Klassenräume/Treppenhäuser;Sanierung;;x; ; ; ; ;Gute Schule 2020-Mittel;1095000;;51.341356;6.530377;fa-graduation-cap;blue
